filename,class,truncated,occluded,observation angle,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rot_y
000000.txt,Pedestrian,0.00,0,-0.20,712.40,143.00,810.73,307.92,1.89,0.48,1.20,1.84,1.47,8.41,0.01
000001.txt,Truck,0.00,0,-1.57,599.41,156.40,629.75,189.25,2.85,2.63,12.34,0.47,1.49,69.44,-1.56
000001.txt,Car,0.00,0,1.85,387.63,181.54,423.81,203.12,1.67,1.87,3.69,-16.53,2.39,58.49,1.57
000001.txt,Cyclist,0.00,3,-1.65,676.60,163.95,688.98,193.93,1.86,0.60,2.02,4.59,1.32,45.84,-1.55
000002.txt,Misc,0.00,0,-1.82,804.79,167.34,995.43,327.94,1.63,1.48,2.37,3.23,1.59,8.55,-1.47
000002.txt,Car,0.00,0,-1.67,657.39,190.13,700.07,223.39,1.41,1.58,4.36,3.18,2.27,34.38,-1.58
000003.txt,Car,0.00,0,1.55,614.24,181.78,727.31,284.77,1.57,1.73,4.15,1.00,1.75,13.22,1.62
000004.txt,Car,0.00,0,1.96,280.38,185.10,344.90,215.59,1.49,1.76,4.01,-15.71,2.16,38.26,1.57
000004.txt,Car,0.00,0,1.88,365.14,184.54,406.11,205.20,1.38,1.80,3.41,-15.89,2.23,51.17,1.58
000005.txt,Pedestrian,0.00,0,1.94,330.06,178.74,360.77,238.64,1.87,0.96,0.65,-8.50,2.07,23.02,1.59
000006.txt,Car,0.00,2,-1.55,548.00,171.33,572.40,194.42,1.48,1.56,3.62,-2.72,0.82,48.22,-1.62
000006.txt,Car,0.00,0,-1.21,505.25,168.37,575.44,209.18,1.67,1.64,4.32,-2.61,1.13,31.73,-1.30
000006.txt,Car,0.00,0,0.15,49.70,185.65,227.42,246.96,1.50,1.62,3.88,-12.54,1.64,19.72,-0.42
000006.txt,Car,0.00,1,2.05,328.67,170.65,397.24,204.16,1.68,1.67,4.29,-12.66,1.13,38.44,1.73
000007.txt,Car,0.00,0,-1.56,564.62,174.59,616.43,224.74,1.61,1.66,3.20,-0.69,1.69,25.01,-1.59
000007.txt,Car,0.00,0,1.71,481.59,180.09,512.55,202.42,1.40,1.51,3.70,-7.43,1.88,47.55,1.55
000007.txt,Car,0.00,0,1.64,542.05,175.55,565.27,193.79,1.46,1.66,4.05,-4.71,1.71,60.52,1.56
000007.txt,Cyclist,0.00,0,1.89,330.60,176.09,355.61,213.60,1.72,0.50,1.95,-12.63,1.88,34.09,1.54
000008.txt,Car,0.88,3,-0.69,0.00,192.37,402.31,374.00,1.60,1.57,3.23,-2.70,1.74,3.68,-1.29
000008.txt,Car,0.00,1,2.04,334.85,178.94,624.50,372.04,1.57,1.50,3.68,-1.17,1.65,7.86,1.90
000008.txt,Car,0.34,3,-1.84,937.29,197.39,1241.00,374.00,1.39,1.44,3.08,3.81,1.64,6.15,-1.31
000008.txt,Car,0.00,1,-1.33,597.59,176.18,720.90,261.14,1.47,1.60,3.66,1.07,1.55,14.44,-1.25
000008.txt,Car,0.00,0,1.74,741.18,168.83,792.25,208.43,1.70,1.63,4.08,7.24,1.55,33.20,1.95
000008.txt,Car,0.00,0,-1.65,884.52,178.31,956.41,240.18,1.59,1.59,2.47,8.48,1.75,19.96,-1.25
000009.txt,Car,0.00,0,-1.50,601.96,177.01,659.15,229.51,1.61,1.66,3.20,0.70,1.76,23.88,-1.48
000009.txt,Car,0.00,2,1.75,600.14,177.09,624.65,193.31,1.44,1.61,3.66,0.24,1.84,66.37,1.76
000009.txt,Car,0.00,0,1.78,574.98,178.64,598.45,194.01,1.41,1.53,3.37,-2.19,1.96,68.25,1.75
000010.txt,Car,0.80,0,-2.09,1013.39,182.46,1241.00,374.00,1.57,1.65,3.35,4.43,1.65,5.20,-1.42
000010.txt,Car,0.00,0,1.95,354.43,185.52,549.52,294.49,1.43,1.70,3.95,-2.39,1.66,11.80,1.76
000010.txt,Pedestrian,0.00,2,1.41,859.54,159.80,879.68,221.40,1.96,0.72,1.09,8.33,1.55,23.51,1.75
000010.txt,Car,0.00,0,-1.78,819.63,178.12,926.85,251.56,1.51,1.60,3.24,5.85,1.64,16.50,-1.44
000010.txt,Car,0.00,2,-1.69,800.54,178.06,878.75,230.56,1.45,1.74,4.10,6.87,1.62,22.05,-1.39
000010.txt,Car,0.00,0,1.80,558.55,179.04,635.05,230.61,1.54,1.68,3.79,-0.38,1.76,23.64,1.78
000010.txt,Car,0.00,2,1.77,598.30,178.68,652.25,218.17,1.49,1.52,3.35,0.64,1.74,29.07,1.79
000010.txt,Car,0.00,1,-1.67,784.59,178.04,839.98,220.10,1.53,1.65,4.37,7.88,1.75,28.53,-1.40
000010.txt,Car,0.00,1,1.92,663.74,175.36,707.21,204.15,1.64,1.45,3.48,4.50,1.80,42.85,2.02
000011.txt,Pedestrian,0.00,1,0.30,883.68,144.15,937.35,259.01,1.90,0.42,1.04,5.06,1.43,12.42,0.68
000011.txt,Pedestrian,0.00,2,0.29,873.70,152.10,933.44,256.07,1.87,0.50,0.90,5.42,1.50,13.43,0.67
000011.txt,Car,0.00,0,1.74,444.29,171.04,504.95,225.82,1.86,1.57,3.83,-4.95,1.83,26.64,1.55
000011.txt,Pedestrian,0.00,0,-0.39,649.28,168.10,664.61,206.40,1.78,0.53,0.95,2.20,1.57,34.08,-0.33
000011.txt,Car,0.98,0,2.42,0.00,217.12,85.92,374.00,1.50,1.46,3.70,-5.12,1.85,4.13,1.56
000011.txt,Pedestrian,0.00,0,2.02,240.35,190.31,268.02,261.61,1.54,0.57,0.41,-7.92,1.94,15.95,1.57
000012.txt,Car,0.00,0,-1.84,662.20,185.85,690.21,205.03,1.48,1.36,3.51,5.35,2.56,58.84,-1.75
000012.txt,Van,0.00,0,1.70,448.07,177.14,481.60,206.41,2.50,2.20,5.78,-13.02,2.91,65.02,1.50
000013.txt,Car,0.00,0,1.74,455.70,183.86,533.81,241.91,1.45,1.56,3.47,-3.16,1.77,20.13,1.59
000014.txt,Car,0.00,0,1.73,626.59,176.07,654.95,194.24,1.44,1.68,4.39,2.57,1.72,59.81,1.77
000015.txt,Car,0.89,0,2.29,0.00,194.70,414.71,373.00,1.57,1.67,4.14,-2.75,1.70,4.10,1.72
000015.txt,Pedestrian,0.00,1,0.71,1021.76,133.28,1101.39,316.63,1.81,1.06,0.73,4.75,1.33,7.59,1.25
000015.txt,Pedestrian,0.00,0,-1.58,672.23,171.73,690.13,224.33,1.73,0.84,0.86,2.46,1.41,24.14,-1.48
